class,forest
row,30
col,40
wavelength_nm,value
740.22,2.0189999999999998e-05
741.54,2.898e-05
742.86,6.25e-06
744.18,2.268e-05
745.49,5.86e-06
746.81,9.56e-06
748.13,2.874e-05
749.45,9.07e-06
750.77,4.7300000000000005e-06
752.09,7.0300000000000005e-06
753.41,1.047e-05
754.73,9.39e-06
756.04,1.171e-05
757.36,8.31e-06
758.68,1.516e-05
760.0,1.1400000000000001e-05
761.32,2.1570000000000002e-05
762.64,1.905e-05
763.96,1.003e-05
765.27,4.08e-06
766.59,1.5399999999999998e-05
767.91,1.3420000000000002e-05
769.23,7.729999999999999e-06
770.55,1.901e-05
771.87,9.63e-06
773.19,9.16e-06
774.51,1.497e-05
775.82,2.7539999999999997e-05
777.14,8.33e-06
778.46,9.859999999999999e-06
779.78,6.22e-06
781.1,9.96e-06
782.42,2.823e-05
783.74,8.16e-06
785.05,1.961e-05
786.37,7.01e-06
787.69,1.307e-05
789.01,2.084e-05
790.33,1.06e-05
791.65,5.510000000000001e-06
792.97,1.4349999999999998e-05
794.29,9.669999999999999e-06
795.6,1.0359999999999999e-05
796.92,1.9450000000000002e-05
798.24,1.003e-05
799.56,4.76e-06
800.88,1.1459999999999999e-05
802.2,1.7899999999999998e-05
803.52,7.049999999999999e-06
804.84,8.609999999999999e-06
806.15,6.09e-06
807.47,9.09e-06
808.79,1.221e-05
810.11,2.421e-05
811.43,1.889e-05
812.75,1.025e-05
814.07,7.280000000000001e-06
815.38,1.8509999999999997e-05
816.7,3.001e-05
818.02,5.0099999999999995e-06
819.34,2.411e-05
820.66,6.169999999999999e-06
821.98,8.91e-06
823.3,3.029e-05
824.62,9.78e-06
825.93,4.87e-06
827.25,6.3100000000000006e-06
828.57,9.91e-06
829.89,8.989999999999999e-06
831.21,1.199e-05
832.53,9.859999999999999e-06
833.85,1.038e-05
835.16,1.3150000000000001e-05
836.48,2.223e-05
837.8,1.946e-05
839.12,7.4700000000000005e-06
840.44,3.55e-06
841.76,1.671e-05
843.08,1.56e-05
844.4,8.43e-06
845.71,1.647e-05
847.03,1.171e-05
848.35,8.069999999999999e-06
849.67,1.3120000000000001e-05
850.99,2.628e-05
852.31,1.7349999999999998e-05
853.63,8.400000000000001e-06
854.95,8.1e-06
856.26,1.967e-05
857.58,2.822e-05
858.9,1.156e-05
860.22,2.147e-05
861.54,5.65e-06
862.86,1.358e-05
864.18,2.253e-05
865.49,1.053e-05
866.81,1.9900000000000003e-05
868.13,1.023e-05
869.45,1.1400000000000001e-05
870.77,2.073e-05
872.09,1.88e-05
873.41,7.249999999999999e-06
874.73,1.4649999999999999e-05
876.04,1.13e-05
877.36,1.826e-05
878.68,2.0569999999999998e-05
880.0,6.270000000000001e-06
881.32,4.12e-06
882.64,1.8220000000000002e-05
883.96,1.541e-05
885.27,2.418e-05
886.59,1.8540000000000002e-05
887.91,1.0520000000000001e-05
889.23,1.744e-05
890.55,1.898e-05
891.87,2.894e-05
893.19,2.105e-05
894.51,2.3009999999999998e-05
895.82,6.55e-06
897.14,2.115e-05
898.46,2.888e-05
899.78,1.019e-05
901.1,2.135e-05
902.42,3.52e-06
903.74,1.2299999999999999e-05
905.05,1.935e-05
906.37,9.84e-06
907.69,7.81e-06
909.01,1.3469999999999998e-05
910.33,1.0199999999999999e-05
911.65,1.9659999999999998e-05
912.97,1.999e-05
914.29,1.088e-05
915.6,1.4030000000000001e-05
916.92,1.734e-05
918.24,1.787e-05
919.56,1.933e-05
920.88,2.0019999999999998e-05
922.2,5.070000000000001e-06
923.52,1.565e-05
924.84,1.273e-05
926.15,2.4809999999999998e-05
927.47,1.943e-05
928.79,9.92e-06
930.11,6.3399999999999994e-06
931.43,1.994e-05
932.75,2.98e-05
934.07,7.64e-06
935.38,2.246e-05
936.7,8.03e-06
938.02,9.68e-06
939.34,1.98e-05
940.66,1.019e-05
941.98,1.939e-05
943.3,1.217e-05
944.62,1.044e-05
945.93,2.041e-05
947.25,2.063e-05
948.57,7.22e-06
949.89,1.291e-05
951.21,1.098e-05
952.53,1.802e-05
953.85,1.687e-05
955.16,7.699999999999999e-06
956.48,5.369999999999999e-06
957.8,1.563e-05
959.12,1.6270000000000002e-05
960.44,2.5090000000000002e-05
961.76,1.7690000000000002e-05
963.08,8.44e-06
964.4,1.401e-05
965.71,1.785e-05
967.03,2.8199999999999998e-05
968.35,2.127e-05
969.67,2.259e-05
970.99,7.4700000000000005e-06
972.31,2.207e-05
973.63,2.758e-05
974.95,1.1459999999999999e-05
976.26,1.948e-05
977.58,8.64e-06
978.9,1.216e-05
980.22,2.164e-05
981.54,1.203e-05
982.86,7.049999999999999e-06
984.18,1.562e-05
985.49,1.2280000000000001e-05
986.81,2.036e-05
988.13,1.932e-05
989.45,6e-06
990.77,1.325e-05
992.09,1.772e-05
993.41,1.73e-05
994.73,2.1479999999999998e-05
996.04,1.983e-05
997.36,7.58e-06
998.68,1.6e-05
1000.0,1.1890000000000001e-05
